yrbp,co2
523689,230.3
524432,227.8
525187,224.7
525931,222.7
526684,221.2
527477,220.3
528285,220.7
528770,214.5
529124,211.4
529663,204.4
530039,200
530708,195.1
531058,193.8
531685,190.5
532142,199.8
533269,199.4
534387,205
535506,206.4
536645,212.9
537793,211.2
538982,205
540177,203.6
541368,208.1
542525,210.3
543699,209.6
544827,209.7
545979,204.6
547036,202.5
547596,208.8
547995,213.6
548956,215.2
549853,219.9
550660,221.7
551147,222.3
551475,226.3
552002,222.1
552273,220.3
552984,223.6
553649,224.3
554277,226.7
554854,233.9
555368,241
555660,243
555862,249.1
556166,244
556387,250.5
556747,245.6
556912,240.4
557408,238.1
557910,234.5
558206,229.7
558416,230.2
558952,230.3
559484,228.3
559995,231.6
560482,231.9
560953,234.6
561332,234.1
561869,240.1
562295,242.3
562713,245.7
563138,245.8
563540,247.6
563941,251.4
564334,252.4
564722,252.6
565100,251.4
565489,253.7
565874,254.3
566256,253.9
566642,254.5
567030,253.2
567404,253.9
567800,252.8
568190,253
568579,250.2
568969,251.3
569354,250
569751,251.3
570162,251.8
570571,251.8
570978,249.6
571390,251.6
571798,250.3
572213,246.3
572642,247.7
573060,249.2
573485,248.7
573925,251.8
574376,251.9
574826,252.1
575288,248.9
575753,252.5
576245,252.9
576746,251.3
577265,251.3
577792,251.1
578328,249.1
578880,252.9
579458,251.5
579844,244.1
580042,243.8
580423,236.2
580718,230.3
581183,225.2
581530,219.4
582023,215.4
582414,209.9
583057,206.7
583436,210.6
586429,224
586916,226
587670,234.4
588057,238.8
588739,246.3
589247,250.2
589891,248.1
590358,243.6
590916,237.4
592302,225.7
592720,229.4
593438,233.2
593893,238.1
594662,238
595212,232.9
595973,221.2
596538,216.4
597466,216.3
597989,219
598856,226
599457,229.4
600905,232.5
602301,237.9
603696,239.1
605099,244.5
606397,248.5
607731,254.6
608952,259.2
610159,257.7
611342,259.6
612537,258
613732,256
614946,252.5
616250,252.4
617567,252.3
618978,247.9
620361,245.4
621783,243
623237,238.6
624713,237.3
625593,234.3
626238,227.8
627234,214.9
628022,205
629469,198.7
630318,199.9
632024,199.5
632879,195.6
634615,192.1
635512,193.9
636980,193
638150,194.3
639871,187.7
640783,189.1
642428,190.2
643227,190.4
644685,194.1
645493,194.6
646746,188.6
647611,190.5
648969,192.1
649621,194.8
650914,187.8
651579,192
652825,185.8
653471,185.3
654496,191.3
655225,193.2
656309,198.4
656905,198.7
657946,191.3
658497,189.2
659547,182.4
660107,183.9
661004,186.6
661673,189.8
662692,187.8
663229,189
664215,189.1
664713,185.8
665668,178.2
666197,178.5
667018,172.7
667592,171.6
668470,175.6
668957,178.5
